,,Notes,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
,Script ID,,Law,Orphan,Widow,Veteran,Physicist,Scavenger,Sniper,Angel,Poet,Alchemist,Climate,Ace
,Parent Personality,,,,,,,,,,,,,
,Name,,Aisa Minh,Masao Sy,Leta Narvaez,Victoria Swift,Solomon Renfield,Justyn Attlee,Grizzly Saeki,Akemi Kobayashi,Sassoon,Ezel Sinai,Arvin Sanjrani,Knox Mandaba
INFO,Data,Scripting info for reference,"Id = ""Pilot_Law"", Skill = 1 tile free move after attacking","Id = ""Pilot_Orphan"", Skill = Fires heal instead of damage","Id = ""Pilot_Widow"", Skill = Immune to web & smoke","Id = ""Pilot_Veteran"", Skill = If survives an attack, deal 1 damage to adjacent enemies","Id = ""Pilot_Physicist"", Skill = Extra reset","Id = ""Pilot_Scavenger"", Skill = Tiles stood on turn solid, ensuring action","Id = ""Pilot_Sniper"" Skill = Cannot Repair. Has a 4 damage ranged attack only usable from 3 tiles away.","Id = ""Pilot_Angel"", Skill = 1 tile free move after attacking","Id = ""Pilot_Scavenger"", Skill = -1 health, immune to death. On disabled, fully repair and shield friendly mechs.","Id = ""Pilot_Veteran"", Skill = If survives an attack, deal 1 damage to adjacent enemies","Id = ""Pilot_Orphan"", Skill = Fires heal instead of damage","Id = ""Pilot_Widow"", Skill = Immune to web & smoke"
,plan,Mini personal history,Aisa Minh [Detritus],Masao Sy [Detritus],Leta Narvaez [Pinnacle],Victoria Swift [Archive],Solomon Renfield [R.S.T.],Justyn Attlee [Pinnacle],Grizzly Saeki [R.S.T.],Akemi Kobayashi [Archive],Sassoon [Detritus],Ezel Sinai [Detritus],Arvin Sanjrani [Pinnacle],Knov Mandaba [Archive]
,Personality,Character guidelines for chatter," Relies on her sensors a lot, for (apparently not that obvious) reasons. Sharp, conscientous, makes references to her education because quality writing."," Pessimistic, selfless to the point of hazard. Overcompensates for naivete, more caring than he lets on. Tends to trail off, but less than Justyn."," Seasoned, fast, but bitter. Draws more from anger and spite than most characters."," Old-timer, similar to Karlsson with a lesser emphasis on timlines (that is to say, being a failure) and more on conventional warfare."," Relatively new to mech combat, but experienced in other aspects of life. Comments a lot on physics and his own work in current timeline. Schmidt, but more emphatic - but still quiet."," Slightly neurotic, nervous, cowardly, but doesn't quite s-s-stutter about it. Slippery? I should really write backstories for these guys."," Soft spoken, laconic, seemingly emotionless as virtues of fierce concentration and dedication to the job. Equal parts training, personality, and proper grasp of the gravitas. Catastrophic failure may cause her to falter, but she mostly just doubles down."," Ruthless, curt, pragmatic. Nickname is ironic, much like Abe's. Not necessarily evil but still lacking empathy, at least outwardly. Units under her are often sacrificed, but to great tactical effect."," oh boy this is gonna be fun to write."," Worked in Detritus treating workplace accidents 'and more' with 'pharmaceutical expertise'. Surrounded by motifs of sleep and illusion. Generally sagely, easygoing, detatched and slightly optimistic. Usually sympathetic, but sometimes a bit cruel and callous. Carries unknown baggage with Singh likely related to his past."," Pinnacle climatologist, understands Vek intrusion will wipe out all life on Earth. Carries an air of esteem and dignity in the most dire of moments, but isn't a research freak like Schmidt or Renfield: He's on the field to take action, and he knows his way around a mech."," Regular operator for antiquated Archive machinery, mechs are new to her but she's used to adjusting to strange tech. Quick and insightful, but naiive. Something of a daredevil. Probably the most cheerful of any of these pilots."
,,,,,,,,,,,,,,
Game States,Gamestart,This happens at the start of a new game,"""The air here is... fresh. Perhaps we'll stand a chance yet."",""It'll easier than pre-law. No, that's a lie, they're about equal."",""You two, come my way. My name's #self_first, I'll need your help and you'll need mine.""","""It should have been someone else. I don't know if I can save this timeline."",""This has to be the last one, I don't think I can do this much longer."",""Stick with me, you two might have a chance of surviving. I can't promise you anything, but I'll try my hardest."",","""We can exchange names after our first battle. There's no point in getting to know dead weight."", ""They could be in this timeline... but that'd only make it more important than ever for me to fight."", ""I'm sending these bugs and their damned hive to hell, help me or get out of my way.""","""I've arrived, listen up. We need to take the offensive against these Vek before they overwhelm us."", ""I'll take this fight straight to the Vek if I have to - and I suspect I will."", ""This won't be the same disaster last timeline was. Not if I have anything to say about it."", ""It'd be disingenuous to say I know this timeline will survive, but to say otherwise would be a fool's errand."",","""It appears this timeline I'm still working on my true calling. But that means it needs on the front, more than ever."", "" The divergence of timelines.. A miracle and a tragedy all the same..."", ""Perhaps I will be able to meet myself this timeline. The opportunity to serve it on two fronts, as an innovator and combatant, is nothing short of enticing."", ""This timeline.. No different from the rest. It's up to us to create the impact we need."", ""Now, I may finally be able to save this timeline... and to perfect my theories.""","""I'm still alive.. I'm still in it.. But for how much longer?"",  ""This isn't just my fight, this is for this timeline too. Keep it together, #self_first."", ""Here again, still kicking and still in mortal peril. I don't know how I do this.""","""I won't fail you this time."",""I will serve this timeline to the best of my ability."",""Pilots, over here. I'm #self_second. I'll need your support for us to make it."",""Focus, commander. We can do this."",""I'm ready to deploy on your word."",","""I can only hope this timeline will provide me with the resources I need."",""If they don't agree with my methods, I can just find another timeline."",""I won't guarantee that you two will make it through this. Lives are expendable in circumstances like these."",""I'll take your orders, commander, but know I serve the timeline first.""","""Another chance to duel the Vek menace."",""A looming threat, our fallen grace, save face.""","""To watch the destruction from up here.. It would jade even the most hardened pilot."",""I'm glad you've taken me with you, commander. I won't disappoint."",""Not a moment's rest for us, hm? No, we'll relax when we're done, one way or the other.""","""Another world, on the brink of destruction. Let's ready up, commander."",""Ready, commander? We've got a lot of work to do."",""To think the Vek would finish off what we'd started.. Time to put an end to it.""","""I hope you know what you're doing, commander, cause I sure as hell don't."",""Give me your orders and I'll do my best. We might just take this timeline."",""I'd rather not see another timeline fall. You with me?"",""Hey, you two the new pilots? I'm #self_first."""
,FTL_Found,Happens on the island screen after finding the FTL pilot in a pod.,"""Am... I reading my sensors right? This pilot appears.. inhuman.""","""This pilot doesn't speak English. To think of it, I don't think they speak Earth.""","""This pilot isn't human. What matters is that it looks capable of killing Vek.""","""In all my years, I've never seen something like this.""","""This must be an extraterrestrial! Fascinating, albeit... incomprehensible.""","""An alien.. I hope you hate building-sized bugs too, we need all the help we can get.""","""Normally, a threat... but we've bigger issues now.""","""..Is that thing on our side? I suppose it's got no choice""","""A fallen, heavenly celestial.""","""I'd be lying if I told you I knew how to approach this thing...""","""Some alien creature... It seems to want to help?""","""I, uh. Wow. Hm. An actual alien, and I think it's friendly!"""
,FTL_Start,Happens after you start a new game with an FTL pilot. Only needed for Recruits,,,,,,,,,,,,
*,Gamestart_PostVictory,Start of new game after winning,"""I wish I didn't have to leave the others, but alas. Ready up, commander."", ""I've done it once, I can do it again. Keep it together and everything'll be fine."", ""Commander? I never been happier to hear you. We can do this.""","""I.. don't know if I can pull it off again. I hope I don't disappoint."", ""I hope they're all safe, but now I'll never see them again. At least you're here, commander."",""Commander, last timeline I was in we wouldn't have made it through without you. This time, let me help you too.""","""Good to see you're in charge of this timeline, instead of some some greenhorn. Gather the recruits, we've got work to do."", ""#self_full reporting for duty. I made sure those Vek died list time, I can do it again."",""Good to have you with us, commander. With you and I here, this can't go wrong.""","""It's not as simple as regurgitating the same strategies, but if anything, we've updated our rulebook."",""Every timeline saved means a greater chance for the next one, no matter how dire the situation may be."",""The Vek can't learn from their battles. We can - this is what gives us the power to prevail.""","""It's not simply a matter of repeating our actions from last time, but one of improving our tactics, improving ourselves as a species."", ""Sorry if I sound self important, but.. you can't say I wasn't useful there."", ""Another timeline, another conflict. I hope to forward my findings before testing begins."", ""I'm detecting tachyon remnants... I didn't expect this. They may have unanticipated effects here.""","""I managed, last time. Somehow. Surely I can do it again."", ""I was able to save the last timeline. With your help, commander, I think we may be able to save this one too.""","""Back on the field already. Good."",""This is pilot #self_second, ready to save another timeline."",""Before we.. Thank you, commander. For everything.""","""Another timeline saved. Another timeline ahead. Keep it up, commander."",""If this timeline was anything like the last, we'll be on our way to the next before we know it."",""Newbie pilots, naïve corporations, a pain to go through it again but a comfort to have you by my side."",""I know I can trust your judgment now, commander. I hope it's reciprocal.""","""Success, but quaint in the grand scheme of things."",""A world salvaged, just one in endless space.""","""Back to work already. The unfortunate stipulation of our master plan."",""No time for rejoice, as cruel as it is. The only time we have is to get back to it all."",""I wasn't expecting last timeline to survive. Perhaps this one will also defy expectation.""","""Hopefully we'll be able to save this timeline as well. If not, at least we've done well elsewhere."",""I wish we could stop for a moment and watch the last timeline flourish, but we're needed elsewhere."",""This looks like a world worth saving. Come, commander, let's save another timeline.""","""It's been great having you work with me. Let's do it again, yeah?"",""Will this timeline go the same way as the last? We'd better hope so."",""New timeline already. Let's get moving, no time to waste!"""
,Death_Revived,"If this unit is dead, but gets repaired","""..Coming back online.. I'm ready, commander!"",""Wuh... Oh! I'm back!""","""I'm... alive?"",""Not over yet? Good."",","""Not. Over. Yet."",  ""I'm coming back for you, Vek.""","""This old bird's still got some fight in her."",  ""#self_second... reporting in. Ready to get back into battle.""","""A miracle... or, perhaps, a master plan."", ""Through the wonders of science, I defy death once more.""","""Still alive.. Still alive... Everything is okay."", ""For a moment, I really didn't think I'd make it."", ""I'm not sure if that was a panic attack or if I was dead for real there, but I'm not going back if I can avoid it.""","""#self_second here.. Glad you could come back for me, #squad."",""I'm.. worse for wear, but my mech is functioning."",""Commander, I'm.. back in the action.""","""Did you think I was out? Not yet."",""Wouldn't put myself there without a plan.""","""REWRITE.""","""No rest for me... not yet."",""I'm back. All I needed was a short break."",""Glad to have me back, commander?""","""I really thought it was over for a moment."",""It's not over for me yet."",""I'm back, but we still need to bring this to a close.""","""Guh.. I'm alive!"",""Wait up, I'm back!"",""Mech's up and running again. I'll try and keep it like that!"""
,Death_Main,If this unit dies.,"""Everything's out. Don't come back for me, keep fighting."", ""If this is what it's like to be dead, I guess there wasn't any reason to be afraid."", ""Leave me here, I've done all I could. My time is up.""","""I hope I've done us proud. Goodbye, commander."", ""If it means someone else may live, so be it. Farewell."",""I only regret not being able to do more. Sorry, #squad."",","""This is it, huh? Give the Vek my regards when you finish them off."", ""It's not.. Guess I'm coming back."", ""Keep fighting, or I'll kick your ass when you join me.""","""Hmh.. to think it would be this, of all things."", ""I've made a tactical blunder, but I'll gladly pay the price."", ""I'm not ready to back down, but... I suppose I have no choice."", ""I've overestimated my capabilities. A rookie mistake.""","""I'm afraid my work in this timeline has come to an end."", ""To see my masterpiece through to the end, would be too kind."",""So much more to do...""","""I'm.. not getting out of this one."",""There's gotta be a way out of this.. or maybe there isn't."",""For once, I thought I might make it..""","""Keep fighting. I've done all I could."", ""Forgive me."",""Farewell, #squad.""","""Ah, shit."",""My mistakes have caught up to me. Do not grieve, I am only paying the price."",""There is no-one to blame for this but myself."",""Honor me by fighting.""","""To aid in life or death, I am betwixt."",""My duty served, I part with one last gift."",""A sweet parting, instead of bitter loss.""","""Heh... I had to slip up eventually."",""Fate? Karma? I thought I'd made up for it all, but I suppose it has to happen."",""Do not grieve. I'm alright with finally giving it all a rest.""","""..This is it. I can't go any further."",""Do this timeline proud for me, #squad."",""My mech is.. shutting down... Goodbye, #squad.""","""Shit, not like..."",""Ah, my hull..."",""Commander, I.."""
,Death_Response,If another unit dies. Use #main to say the dying unit's name.,"""Not getting any signals from #main_first... You too? I..."", ""#main_first, copy? Nothing. No..."", ""#main_first.. If I ever come across you again, I won't let this happen.""","""#main_first... It should've been me."", ""#main_first, I'm sorry.. I wasn't good enough..."",","""#main_second, copy. #main_first! Dammit, not you too!"",  ""We can grieve for #main_second later, right now we need to see this through!"", ""Don't copy #main_second's mistakes, and don't let their loss be in vain!"",","""We all knew what we were signing up for. Godspeed, soldier."", ""#main_second gave their life for our cause. You can honor them by closing this fight."", ""To put yourself in the line of fire.. Foolish, #main_second, but a valiant demise."", Advance! We mustn't let this loss halt our progress!""","""Such a talented mind, lost to this wretched war."",""To think what #main_first could have done, were their life not thrown away with so little meaning..."",""We must end this battle, before more precious lives are lost.""","""#main_first, don't.. leave us here.."",""What are we gonna do without you, #main_first?""","""Pilot #main_first is.. down."", ""#main_second.. is gone."",""We.. lost #main_first.""","""Pilot down. Shame."",""Lost another pilot. You'll have full honors, #main_second."",""There is no room on the battlefield for hesitation. Do not repeat #main_second's mistakes.""","""For soldiers, martyrdom is ascension."",""A tragedy, that lets us start anew.""","""Rest well, #main_first. You've done us proud."",""It's unfortunate to see you go so soon..."",""I knew you for only so long, #main_first.."",""Rest well, #main_first.""","""#main_first.. Hold tight, we'll get you out soon."", ""Ah. Not you too, #main_first..."",","""#main_first... Come in! Please!"",""We'll come for you soon, #main_first. Don't give up!"",""Commander, we need to send someone in to help out #main_first!"""
,Death_Response_AI,If another Mech dies but it doesn't have a pilot to die.,"""We just lost one of our mechs, the #main_mech. Stay sharp."",""Watch out, our #main_mech just went offline. That doesn't bode well.""","""Better the #main_mech than one of us, but..."",""Our #main_mech just fell, don't let that happen to one of us."",","""#main_mech went down, things just got a lot tougher."", ""#main_mech's busted, watch your six!""","""That mech being empty doesn't make this loss any worse. Don't become complacent!"", ""The strategic value of the #main_mech was not to be undervalued, but we've gone and lost it now.""","""Not that we're any better off, but it's good we didn't lose a pilot."", ""We can repair that #main_mech, but the resources will be expensive.""","""The #main_mech.. that's gonna happen to one of us.."", ""How will we finish this with the #main_mech disabled?""","""Our #main_mech is disabled."",""Don't over-extend, we just lost our #main_mech.""","""Mech down."",""#main_mech is down."",""Lost a mech, though no pilot was in it.""","""Lost to the cruel reality of war."",""Expendable, but harsh, in trying times.""","""It's good that we didn't lose anyone with that mech, but the loss is still concerning."",""Not having a pilot didn't make our situation any better."",""Still puts us in a dubious position, pilot or not.""","""Just an AI, but not a loss I'm particularly comfortable with either."",""#main_mech is busted, things just got a lot more rough."",","""We might run into some trouble without our #main_mech."",""Down a #main_mech. Least we didn't lose anyone with it."""
